iter	Logloss
0	0.505461385111	0.384751401422	0.295322665433	0.235746611944	0.18403832555	0.153424327466	0.128880219877	0.113946279288	0.102078560799	0.09248978733110	0.084091599
11	0.07825523771
12	0.07306945087113	0.0687781666
14	0.06476597321
15	0.06125744374
16	0.05851476994
17	0.05439775125
18	0.0521473022
19	0.05017867414
20	0.04865744824
21	0.04672151546
22	0.04500902064
23	0.04351583158
24	0.04215751106
25	0.04031812714
26	0.03856841983
27	0.03780270389
28	0.03659270326229	0.03568223475330	0.0350036981
31	0.03398812429
32	0.0336025242
33	0.03298317482
34	0.03235034753
35	0.03170109266
36	0.03101104522
337	0.03090589733838	0.03033659593939	0.02976016654040	0.02917643504141	0.02867145324242	0.02837481124343	0.02783468354444	0.02727069944545	0.02698403344646	0.02664237474747	0.02630222484848	0.02584486494949	0.02540390505050	0.02512951515151	0.02484177525252	0.02447567245353	0.02417613095454	0.02403723585555	0.02393399456	56	0.02365904957	57	0.02335023458	58	0.02297028959	59	0.0228468076060	0.02255888266161	0.02235605806262	0.02218469056363	0.02199461636664	0.02189041436665	0.02179212489666	0.02161159097667	0.02137983596868	0.02122084576969	0.02095243457070	0.02087382117171	0.02063066047272	0.0204432126773	0.02019925985774	0.01991325734775	0.01985240889776	0.01976640136777	0.01960205475778	0.01956805757779	0.01942517288880	0.0192793586881	0.01872462078882	0.018639949258883	0.01889478658884	0.0187073262885	0.01854257743886	0.01836430087887	0.01821215128888	0.0181334043889	0.01795478939090	0.017804369091991	0.017395152992	0.01752625772993	0.01746775755994	0.01740704334995	0.01727570203996	0.01718530029797	0.01708823209898	0.01692790059999	0.01679716445
100	0.01674944297
101	0.01657619652
102	0.01645788485
103	0.01634349689
104	0.01626583666
105	0.01619632106
106	0.01610148727
107	0.01598288764
108	0.01588673953
109	0.01582561443
110	0.01568959138
111	0.01563592804
112	0.01554128641
113	0.01539619035
114	0.01526338168
115	0.01513788923
116	0.01506758845
117	0.0149490728
118	0.01482301057
119	0.01472226841120	0.01467694223
121	0.01465238482
122	0.01456836634
123	0.01445631376
124	0.01439956667
125	0.01432419883
126	0.0142918918
127	0.01420805986
128	0.01409762746
129	0.0139784741
130	0.0139177615
131	0.01390539983
132	0.01383880246
133	0.01377172811
134	0.01373254966
135	135	0.01369448136	136	0.01361386137137	0.013538967138	0.01351865182
139139	0.013427691140140	0.013420167141141	0.013345232142142	0.013272213143143	0.013200345144144	0.013134308145145	0.013099001146146	0.01301568147	147	0.01294404148	148	0.01291300149	149	0.0128932150	0150	0.0128515151	0151	0.0128128152	0152	0.0127748153	0153	0.0127404154	0154	0.0126924155	0155	0.0126487156	156	0.012580191157157	0.012565215158158	0.012489115159159	0.012417160160160	0.01234216161	161	0.01229916162	162	0.0122771163	0163	0.0122391164	164	0.01220031165	165	0.01217061166	166	0.01210031167	167	0.01205781168	168	0.01204631169	0.011923558621170	0.011865003631171	0.011806528391172	172	0.0119489173	0173	0.0118986174	0174	0.0118696175	0175	0.0118090176	0176	0.0117920177	0177	0.0117703178	0178	0.0117607179	0179	0.0117076180	0180	0.0116816181	0181	0.011681182	0.01136726533
183	0.01132820809
184	0.01128116762
185185	0.01157947186	186	0.01154715187	187	0.01152097188188	0.011512849189189	0.011480379190190	0.011457936191191	0.011416486192192	0.011370190193193	0.011320320194194	0.011295579195195	0.01127885196	196	0.01124656197197	0.011238265198198	0.011227047199199	0.01119879215
200	0.01115865694
201	0.0111225497
202	0.01108509821
203	0.01105708808
204	0.01103104279
205	0.01102362094
206	0.01101393083
