iter	Passed	Remaining
417	17137	23861
418	17168	23806
419	17200	23753
420	17230	23697
421	17263	23644
422	17291	23587
423	17322	23532
424	17352	23476
425	17384	23423
426	17416	23371
427	17448	23319
428	17479	23265
429	17511	23213
430	17546	23164
431	17583	23118
432	17614	23065
433	17648	23016
434	17676	22959
435	17709	22909
436	17738	22852
437	17771	22802
438	17806	22754
439	17835	22699
440	17866	22647
441	17902	22601
442	17933	22548
443	17969	22502
444	18003	22453
445	18033	22400
446	18061	22344
447	18096	22297
448	18134	22254
449	18169	22207
450	18195	22149
451	18227	22098
452	18257	22046
453	18285	21991
454	18314	21936
455	18341	21881
456	18371	21828
457	18401	21776
458	18433	21726
459	18465	21676
460	18493	21622
461	18522	21569
462	18555	21521
463	18585	21469
464	18615	21417
465	18649	21371
466	18686	21326
467	18714	21273
468	18747	21225
469	18779	21177
470	18810	21126
471	18838	21073
472	18870	21025
473	18904	20978
474	18933	20926
475	18961	20873
476	18991	20823
477	19023	20774
478	19057	20729
479	19088	20679
480	19117	20627
481	19145	20575
482	19178	20528
483	19210	20480
484	19238	20428
485	19270	20380
486	19301	20332
487	19331	20282
488	19363	20234
489	19395	20187
490	19426	20139
491	19454	20087
492	19484	20038
493	19513	19987
494	19542	19937
495	19569	19885
496	19601	19837
497	19629	19787
498	19658	19736
499	19693	19693
500	19724	19646
501	19755	19598
502	19783	19547
503	19815	19500
504	19844	19451
505	19872	19401
506	19903	19353
507	19934	19306
508	19965	19259
509	19995	19211
510	20025	19163
511	20059	19119
512	20089	19071
513	20120	19024
514	20150	18976
515	20180	18928
516	20211	18881
517	20241	18834
518	20273	18789
519	20305	18743
520	20334	18694
521	20363	18646
522	20395	18601
523	20422	18551
524	20453	18505
525	20483	18458
526	20515	18413
527	20547	18368
528	20578	18322
529	20610	18277
530	20640	18230
531	20669	18183
532	20700	18137
533	20727	18088
534	20758	18042
535	20788	17995
536	20820	17951
537	20850	17905
538	20883	17861
539	20917	17818
540	20948	17773
541	20982	17730
542	21013	17685
543	21040	17637
544	21072	17592
545	21105	17549
546	21137	17504
547	21168	17459
548	21197	17413
549	21230	17370
550	21258	17323
551	21292	17280
552	21324	17237
553	21358	17195
554	21390	17150
555	21423	17108
556	21451	17061
557	21480	17015
558	21513	16972
559	21548	16931
560	21578	16886
561	21610	16842
562	21641	16798
563	21672	16754
564	21706	16711
565	21736	16666
566	21768	16623
567	21799	16579
568	21832	16537
569	21870	16498
570	21903	16456
571	21934	16412
572	21964	16368
573	21994	16323
574	22030	16283
575	22063	16240
576	22094	16197
577	22126	16154
578	22164	16116
579	22196	16073
580	22229	16031
581	22260	15987
582	22291	15944
583	22324	15902
584	22357	15860
585	22389	15818
586	22424	15777
587	22454	15733
588	22485	15690
589	22515	15646
590	22548	15604
591	22580	15562
592	22613	15520
593	22645	15478
594	22673	15432
595	22702	15388
596	22732	15345
597	22761	15301
598	22793	15259
599	22824	15216
600	22857	15174
601	22889	15132
602	22918	15088
603	22949	15046
604	22979	15003
605	23008	14959
606	23042	14918
607	23071	14875
608	23103	14833
609	23133	14790
610	23162	14746
611	23191	14702
612	23226	14663
613	23257	14621
614	23289	14579
615	23317	14535
616	23346	14492
617	23378	14451
618	23412	14410
619	23445	14369
620	23476	14327
621	23510	14287
622	23541	14246
623	23574	14205
624	23606	14163
625	23638	14122
626	23670	14081
627	23702	14040
628	23734	13999
629	23764	13957
630	23793	13914
631	23828	13874
632	23859	13833
633	23896	13794
634	23925	13752
635	23957	13711
636	23996	13674
637	24027	13633
638	24057	13591
639	24088	13549
640	24118	13507
641	24150	13466
642	24180	13425
643	24211	13383
644	24243	13343
645	24275	13302
646	24306	13261
647	24339	13221
648	24370	13180
649	24400	13138
650	24435	13099
651	24465	13058
652	24497	13017
653	24529	12977
654	24558	12935
655	24588	12894
656	24625	12856
657	24658	12816
658	24686	12774
659	24717	12733
660	24747	12691
661	24774	12649
662	24804	12608
663	24836	12567
664	24867	12527
665	24899	12487
666	24934	12448
667	24969	12410
668	25001	12370
669	25029	12328
670	25058	12286
671	25090	12246
672	25119	12205
673	25148	12163
674	25177	12122
675	25210	12083
676	25242	12043
677	25276	12004
678	25307	11964
679	25337	11923
680	25370	11884
681	25402	11844
682	25433	11804
683	25464	11764
684	25500	11726
685	25539	11690
686	25573	11651
687	25609	11613
688	25641	11573
689	25673	11534
690	25703	11494
691	25732	11453
692	25763	11413
693	25794	11373
694	25828	11334
695	25858	11294
696	25889	11254
697	25919	11214
698	25948	11173
699	25980	11134
700	26012	11095
701	26044	11056
702	26077	11017
703	26108	10977
704	26138	10937
705	26171	10898
706	26203	10859
707	26239	10821
708	26270	10782
709	26299	10742
710	26332	10703
711	26365	10664
712	26395	10625
713	26423	10584
714	26451	10543
715	26481	10503
716	26511	10464
717	26540	10423
718	26569	10383
719	26600	10344
720	26632	10305
721	26661	10265
722	26694	10227
723	26724	10187
724	26755	10148
725	26788	10110
726	26818	10070
727	26854	10033
728	26884	9994
729	26915	9955
730	26947	9916
731	26978	9877
732	27008	9838
733	27039	9798
734	27068	9759
735	27102	9721
736	27135	9683
737	27170	9645
738	27201	9607
739	27233	9568
740	27264741	27741	27293742	27742	27324743	27743	27356744	27744	27387745	27487	9358
746	27525	9322
747	27566	9287
748	27609	9252
749	27651	9217
750	27691	9181
751	27724	9143
752	27754	9104
753	27791	9067
754	27823	9028
755	27855	8990
756	27890	8952
757	27925	8915
758	27964	8879
759	28004	8843
760	28041	8806
761	28084	8771
762	28128	8737
763	28172	8702
764	28212	8666
765	28243	8627
766	28278	8590
767	28313	8552
768	28347	8515
769	28380	8477
770	28414	8439
771	28449	8402
772	28480	8363
773	28511	8325
774	28545	8287
775	28581	8250
776	28614	8212
777	28647	8174
778	28677	8135
779	28708	8097
780	28744	8060
781	28774	8021
782	28808	7984
783	28840	7945
784	28874	7908
785	28905	7870
786	28939	7832
787	28971	7794
788	29004	7756
789	29036	7718
790	29069	7680
791	29099	7642
792	29133	7604
793	29162	7565
794	29191	7527
795	29224	7489
796	29253	7451
797	29282	7412
798	29315	7374
799	29348	7337
800	29381	7299
801	29412	7261
802	29448	7224
803	29480	7186
804	29512	7149
805	29544	7111
806	29576	7073
807	29607	7035
808	29640	6997
809	29671	6960
810	29706	6922
811	29739	6885
812	29774	6848
813	29806	6810
814	29836	6772
815	29870	6735
816	29908	6699
817	29941	6661
818	29979	6625
819	30015	6588
820	30043	6550
821	30077	6513
822	30110	6475
823	30135	6436
824	30167	6399
825	30195	6360
826	30228	6323
827	30261	6286
828	30295	6249
829	30330	6212
830	30361	6174
831	30391	6136
832	30422	6099
833	30455	6061
834	30485	6024
835	30523	5987
836	30553	5950
837	30588	5913
838	30620	5875
839	30652	5838
840	30684	5801
841	30717	5764
842	30748	5726
843	30781	5689
844	30813	5652
845	30845	5614
846	30878	5577
